id,price
0,4592
1,1013
2,16493
3,6743
4,1491
5,2203
6,1989
7,1855
8,3344
9,15427
10,3626
11,575
12,644
13,3851
14,975
15,4540
16,1765
17,4132
18,620
19,3685
20,709
21,8561
22,862
23,11487
24,4075
25,7150
26,5487
27,574
28,2261
29,16052
30,748
31,4864
32,9565
33,6255
34,1608
35,1619
36,643
37,2409
38,16108
39,383
40,1085
41,5963
42,2221
43,5355
44,2141
45,1353
46,5486
47,5513
48,3703
49,1350
50,477
51,654
52,668
53,2904
54,4769
55,698
56,4167
57,2088
58,2120
59,920
60,5848
61,7507
62,1362
63,4253
64,3976
65,6538
66,2644
67,3797
68,797
69,735
70,5216
71,4541
72,925
73,5151
74,2818
75,16201
76,15297
77,13601
78,771
79,11232
80,3665
81,6440
82,6400
83,12621
84,6187
85,12375
86,1881
87,8567
88,1053
89,1900
90,13312
91,5106
92,1741
93,696
94,2550
95,1024
96,1084
97,3106
98,1029
99,9402
100,782
101,1795
102,3248
103,857
104,6302
105,793
106,9444
107,1014
108,705
109,4211
110,3008
111,6237
112,1430
113,638
114,4245
115,2247
116,17288
117,1461
118,1048
119,879
120,503
121,13326
122,456
123,3408
124,11831
125,910
126,1249
127,2300
128,2570
129,4224
130,1575
131,1942
132,621
133,588
134,620
135,2769
136,489
137,1866
138,4994
139,3241
140,473
141,8625
142,1303
143,16729
144,4197
145,720
146,1620
147,16572
148,12316
149,5766
150,4164
151,9789
152,595
153,2257
154,4100
155,4564
156,6297
157,13902
158,2151
159,11907
160,2610
161,3633
162,467
163,4589
164,2593
165,824
166,727
167,4261
168,3298
169,16656
170,10415
171,10740
172,1986
173,12206
174,577
175,887
176,921
177,739
178,1219
179,4866
180,1189
181,1999
182,2618
183,664
184,3118
185,561
186,5000
187,6097
188,7524
189,15095
190,7937
191,2717
192,2445
193,731
194,4595
195,7188
196,3414
197,5776
198,1306
199,12238
200,786
201,907
202,833
203,6205
204,5593
205,6133
206,1258
207,2291
208,8107
209,3888
210,546
211,5149
212,2671
213,1427
214,1240
215,11537
216,1166
217,4839
218,5328
219,580
220,1997
221,2786
222,5284
223,1404
224,774
225,509
226,2519
227,5544
228,897
229,681
230,3956
231,3270
232,6994
233,765
234,773
235,2313
236,601
237,2491
238,5272
239,2652
240,400
241,2513
242,16114
243,661
244,920
245,1236
246,2305
247,969
248,11094
249,720
250,1174
251,1520
252,1294
253,696
254,684
255,718
256,13662
257,788
258,719
259,12404
260,448
261,7407
262,7457
263,5420
264,1694
265,9656
266,2869
267,2456
268,537
269,1651
270,945
271,4811
272,3588
273,986
274,9358
275,567
276,1243
277,3765
278,511
279,2311
280,1064
281,11422
282,1982
283,7202
284,488
285,9951
286,9632
287,2307
288,742
289,1333
290,861
291,5452
292,1415
293,13008
294,508
295,10017
296,2738
297,1637
298,775
299,2167
300,10585
301,1701
302,2723
303,3717
304,6268
305,2033
306,797
307,508
308,1005
309,8614
310,1574
311,4826
312,14897
313,1363
314,6441
315,5427
316,924
317,7731
318,5976
319,3024
320,1774
321,3720
322,1089
323,627
324,620
325,4204
326,724
327,847
328,2989
329,3673
330,15317
331,2777
332,2368
333,792
334,7312
335,3876
336,5027
337,409
338,873
339,11078
340,674
341,419
342,713
343,1782
344,741
345,3393
346,1909
347,4028
348,6835
349,2396
350,696
351,1811
352,6322
353,1667
354,844
355,15057
356,7410
357,857
358,791
359,16216
360,2639
361,7167
362,2184
363,3223
364,14738
365,497
366,5844
367,1838
368,3698
369,11979
370,8211
371,2711
372,960
373,2461
374,10656
375,9167
376,2878
377,1793
378,4242
379,5942
380,1408
381,2965
382,799
383,1276
384,9813
385,2058
386,3223
387,14022
388,783
389,656
390,1658
391,3491
392,1427
393,725
394,14184
395,8228
396,895
397,5464
398,2551
399,1713
400,3082
401,983
402,10724
403,4863
404,4665
405,814
406,1078
407,4500
408,9462
409,2296
410,11800
411,5474
412,2167
413,879
414,4785
415,725
416,4488
417,3402
418,1718
419,7426
420,3545
421,1907
422,5322
423,2318
424,14982
425,2352
426,6295
427,3687
428,1067
429,2623
430,4901
431,1321
432,2471
433,7093
434,8510
435,13702
436,955
437,1206
438,1070
439,5243
440,646
441,1521
442,15189
443,938
444,881
445,669
446,3169
447,2679
448,1022
449,903
450,12900
451,5358
452,7434
453,5652
454,573
455,730
456,14360
457,524
458,550
459,720
460,3401
461,16412
462,2857
463,6430
464,5220
465,3740
466,1306
467,582
468,1132
469,386
470,709
471,1004
472,2729
473,3531
474,4815
475,2120
476,842
477,1512
478,5995
479,3995
480,8495
481,2960
482,684
483,1245
484,6052
485,1011
486,5354
487,1022
488,2569
489,846
490,2973
491,555
492,981
493,2790
494,1055
495,2568
496,5589
497,1030
498,9027
499,1740
500,871
501,2962
502,856
503,1929
504,1251
505,3838
506,692
507,7823
508,625
509,6922
510,877
511,10804
512,1426
513,15839
514,2119
515,1026
516,7296
517,5715
518,2655
519,793
520,1171
521,9013
522,565
523,1588
524,4466
525,472
526,12384
527,3587
528,435
529,621
530,919
531,596
532,822
533,911
534,2281
535,1350
536,2179
537,1668
538,3244
539,4122
540,2249
541,8169
542,3087
543,5175
544,2422
545,9426
546,1324
547,4332
548,497
549,992
550,493
551,893
552,1186
553,827
554,2210
555,773
556,5882
557,1954
558,971
559,4486
560,5252
561,583
562,781
563,6068
564,451
565,1491
566,15947
567,2319
568,17636
569,1290
570,4101
571,4584
572,5291
573,14158
574,1457
575,2313
576,1323
577,16322
578,3604
579,8274
580,3277
581,6038
582,6200
583,455
584,7409
585,1801
586,4898
587,1882
588,2157
589,1481
590,641
591,3218
592,5004
593,3993
594,1307
595,676
596,4956
597,2263
598,1356
599,696
600,8870
601,6287
602,6936
603,538
604,14378
605,628
606,1831
607,5102
608,3566
609,9192
610,1733
611,940
612,4497
613,4794
614,798
615,4402
616,1402
617,1575
618,697
619,1450
620,7587
621,771
622,959
623,4092
624,457
625,11683
626,3601
627,685
628,5119
629,524
630,683
631,1384
632,4891
633,3168
634,5830
635,4872
636,925
637,1212
638,5778
639,8292
640,6936
641,1000
642,1873
643,3735
644,529
645,753
646,2518
647,497
648,670
649,11525
650,7240
651,754
652,7008
653,16457
654,1445
655,1870
656,568
657,764
658,5914
659,5567
660,2209
661,12684
662,4170
663,450
664,9861
665,824
666,609
667,664
668,890
669,747
670,10954
671,4288
672,1895
673,7382
674,4871
675,5500
676,17631
677,4167
678,9956
679,3442
680,812
681,10227
682,758
683,4114
684,1177
685,3162
686,5885
687,535
688,4076
689,2078
690,7376
691,4658
692,1960
693,9228
694,9359
695,5932
696,579
697,3448
698,8016
699,8200
700,1105
701,2488
702,16558
703,2105
704,487
705,1662
706,741
707,5886
708,2583
709,5018
710,6315
711,10302
712,4019
713,4496
714,4405
715,1748
716,3068
717,1242
718,829
719,864
720,4740
721,5608
722,3602
723,879
724,1132
725,1837
726,4886
727,1606
728,607
729,4513
730,716
731,2654
732,11599
733,4119
734,3561
735,783
736,859
737,3254
738,15039
739,5016
740,850
741,498
742,8097
743,4421
744,9342
745,9999
746,13047
747,9193
748,6428
749,8342
750,6493
751,2995
752,847
753,463
754,13009
755,1000
756,831
757,11234
758,4265
759,1111
760,1296
761,5269
762,14293
763,705
764,1345
765,3715
766,1670
767,4518
768,3045
769,4351
770,2415
771,709
772,6752
773,4226
774,3174
775,1158
776,391
777,3461
778,2329
779,773
780,848
781,1057
782,2692
783,1753
784,4113
785,776
786,2776
787,9102
788,12477
789,942
790,629
791,2170
792,3883
793,1038
794,1631
795,1031
796,4799
797,5335
798,5488
799,13823
800,632
801,891
802,6474
803,744
804,2287
805,850
806,1076
807,1726
808,639
809,1446
810,861
811,2644
812,477
813,2282
814,951
815,3429
816,3248
817,5115
818,2298
819,1002
820,1270
821,2678
822,4404
823,6021
824,1898
825,631
826,3028
827,3587
828,2752
829,607
830,722
831,1139
832,1877
833,8290
834,9732
835,6863
836,960
837,12431
838,4985
839,780
840,785
841,4356
842,8352
843,15497
844,3227
845,2333
846,6193
847,13809
848,1656
849,4843
850,1296
851,9937
852,1209
853,4216
854,1131
855,469
856,2490
857,4376
858,13345
859,2679
860,5312
861,470
862,1767
863,6725
864,2225
865,2206
866,2842
867,2171
868,1726
869,465
870,781
871,9990
872,13852
873,9211
874,2762
875,1243
876,889
877,12780
878,4829
879,876
880,1356
881,3676
882,1215
883,418
884,585
885,2919
886,1506
887,1045
888,3455
889,849
890,986
891,2686
892,2655
893,480
894,6490
895,1433
896,1838
897,10255
898,4402
899,2894
900,3353
901,1770
902,1145
903,1017
904,956
905,1906
906,11444
907,769
908,756
909,785
910,5886
911,824
912,17375
913,6453
914,4734
915,17345
916,2299
917,5738
918,575
919,636
920,561
921,2472
922,4160
923,7976
924,6505
925,11505
926,1651
927,1858
928,886
929,730
930,776
931,4475
932,757
933,709
934,604
935,9347
936,6258
937,2458
938,1228
939,16293
940,675
941,7396
942,5727
943,10838
944,2431
945,693
946,978
947,791
948,3004
949,2769
950,662
951,4508
952,917
